"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间(UTC)"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.77.133","","","","","-1/-1","","","","","","scan-96.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.104.208","","","","","-1/-1","","","","","","scan-45.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","173.230.145.103","","","","","-1/-1","","","","","","scan-84.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.99.217","","","","","-1/-1","","","","","","scan-65.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.116.22","","","","","-1/-1","","","","","","scan-49.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","50.116.17.183","","","","","-1/-1","","","","","","scan-59.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.119.197","","","","","-1/-1","","","","","","scan-72.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.238.87","","","","","-1/-1","","","","","","scan-116.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.125.159","","","","","-1/-1","","","","","","scan-64.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.197.151","","","","","-1/-1","","","","","","scan-12.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.122.110","","","","","-1/-1","","","","","","scan-8.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.239.183","","","","","-1/-1","","","","","","scan-11.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","139.162.65.55","","","","","-1/-1","","","","","","scan-33.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.104.89.98","","","","","-1/-1","","","","","","scan-3.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","172.105.218.213","","","","","-1/-1","","","","","","scan-37.security.ipip.net","2019-11-12T18:58:29Z"
"intranet","ingress","Drop","ALL","-1/-1","1","45.79.162.88","","","","","-1/-1","","","","","","scan-88.security.ipip.net","2019-11-12T18:58:29Z"
